"Google Mobile Украина, язык интерфейса: українська"
"Ключевое слово",URL,Частотность,Динамика,2025-09-16,2025-09-23,2025-09-25,2025-09-30,2025-10-07,2025-10-14,2025-10-21,2025-10-28,2025-11-03,2025-11-04,2025-11-05,2025-11-11,2025-11-28,2026-01-06,2026-01-20,2026-02-13,2026-03-03
"купити базу під тіні",https://avrora.ua/dekorativnaya-kosmetika/,0,0,-,-,"Нет данных",-,44,70,69,62,32,79,"Нет данных",62,34,32,74,-,-
"недорога база під тіні",https://avrora.ua/dekorativnaya-kosmetika/,0,-25,75,53,"Нет данных",48,34,-,29,32,31,32,"Нет данных",-,29,-,-,-,-
"консилер під очі",https://avrora.ua/konsileri/,320,-30,7,34,"Нет данных",38,45,34,36,48,49,48,"Нет данных",50,41,41,44,47,37
"консилер для очей",https://avrora.ua/konsilerkorektor-dlya-makiyazhu-navkolo-ochey/,40,18,40,17,"Нет данных",28,17,25,19,31,34,18,"Нет данных",34,19,51,17,20,22
"консилер від темних кіл під очима",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"консилер навколо очей",https://avrora.ua/konsilerkorektor-dlya-makiyazhu-navkolo-ochey/,0,78,-,17,"Нет данных",14,13,18,14,15,15,16,"Нет данных",19,16,15,16,22,22
"консилер для шкіри навколо очей",https://avrora.ua/konsilerkorektor-dlya-makiyazhu-navkolo-ochey/,0,-33,24,25,"Нет данных",25,13,25,24,49,50,27,"Нет данных",33,34,44,55,33,57
"консилер для шкіри під очима",https://avrora.ua/blog/krasa-ta-zdorovya/konsiler-u-chomu-osoblivosti-kosmetichnogo-zasobu-ta-yak-yogo-pravilno-vibrati/,0,33,86,-,"Нет данных",53,-,-,53,-,-,-,"Нет данных",88,-,60,64,54,53
"купити консилер під очі",https://avrora.ua/konsileri/,10,2,28,26,"Нет данных",47,18,36,26,52,42,31,"Нет данных",40,27,41,44,42,26
"купити консилер для очей",https://avrora.ua/konsilerkorektor-dlya-makiyazhu-navkolo-ochey/,0,-4,16,13,"Нет данных",17,18,16,18,19,25,20,"Нет данных",19,23,20,19,21,20
"консилер для очей ціни",https://avrora.ua/konsilerkorektor-dlya-makiyazhu-navkolo-ochey/,0,-1,18,13,"Нет данных",14,12,18,17,15,14,18,"Нет данных",17,19,19,18,18,19
"консилер під очі ціна",https://avrora.ua/konsileri/,0,10,17,10,"Нет данных",16,10,10,18,39,10,18,"Нет данных",12,19,23,17,17,7
"туш для вій",https://avrora.ua/tush-dlya-viy-uk/,5400,-55,23,18,"Нет данных",19,15,18,18,23,23,22,"Нет данных",22,24,30,24,34,78
туш,https://avrora.ua/tush-dlya-viy-uk/,14800,-43,8,12,"Нет данных",-,15,18,16,18,18,14,"Нет данных",17,21,28,23,29,51
"туш для вій ціна",https://avrora.ua/tushi-dlya-viy/,10,-31,29,24,"Нет данных",25,-,25,29,27,28,29,"Нет данных",25,23,24,25,25,60
"туші для вій купити",https://avrora.ua/tushi-dlya-viy/,0,16,30,25,"Нет данных",25,18,19,20,21,21,20,"Нет данных",16,26,25,44,33,14
"купити туш для вій інтернет магазин",https://avrora.ua/tushi-dlya-viy/,0,0,-,19,"Нет данных",30,16,16,15,51,54,42,"Нет данных",17,44,41,63,59,-
"туш для вій інтернет магазин",https://avrora.ua/tushi-dlya-viy/,0,-46,54,14,"Нет данных",27,16,15,14,35,70,27,"Нет данных",33,73,43,88,89,-
"замовити туш для вій в інтернет магазині",https://avrora.ua/tushi-dlya-viy/,0,-42,36,30,"Нет данных",34,19,19,62,50,44,56,"Нет данных",71,30,43,38,57,78
"недорога туш для вій",https://avrora.ua/tushi-dlya-viy/,0,14,20,11,"Нет данных",22,19,8,8,15,16,15,"Нет данных",12,13,12,13,9,6
"туш Belor Design",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш Bourjois",,140,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш для вій Буржуа",,70,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш для вій Bourjois",,20,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш для вій Catrice",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш Catrice",,90,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш для вій Катріс",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш для вій Color Me",https://avrora.ua/tushi-dlya-viy/,0,0,-,-,"Нет данных",-,-,53,53,-,-,-,"Нет данных",-,-,-,-,86,-
"туш Color Me",https://avrora.ua/krasota-i-zdorove/,10,0,-,-,"Нет данных",-,-,-,-,83,-,-,"Нет данных",93,-,-,-,-,-
"туш для вій Колор Мі",https://avrora.ua/tushi-dlya-viy/,0,31,46,24,"Нет данных",58,21,16,15,25,12,29,"Нет данных",15,23,23,51,70,15
"туш для вій Etual",https://avrora.ua/tushi-dlya-viy/,0,0,-,-,"Нет данных",-,-,-,-,-,47,-,"Нет данных",65,53,60,56,45,-
"туш Etual",https://avrora.ua/tushi-dlya-viy/,0,-56,44,67,"Нет данных",56,-,30,44,41,28,-,"Нет данных",35,34,31,35,46,-
"туш Eveline",https://avrora.ua/tush-dlya-viy-eveline-look-up-gustota-ta-potovschennya-chorna-9-ml/,390,-22,23,19,"Нет данных",24,30,27,-,29,24,27,"Нет данных",28,31,29,35,21,45
"туш для вій Eveline",https://avrora.ua/tushi-dlya-viy/,70,-9,27,25,"Нет данных",30,39,28,24,24,26,30,"Нет данных",28,30,18,22,26,36
"туш для вій Евелін",https://avrora.ua/dekorativna-kosmetika-eveline/,390,0,25,25,"Нет данных",24,14,15,16,20,14,16,"Нет данных",17,18,15,13,28,25
"туш для вій LORENA beauty",https://avrora.ua/tushi-dlya-viy/,0,-53,47,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш LORENA beauty",https://avrora.ua/tushi-dlya-viy/,0,57,-,39,"Нет данных",44,34,-,26,36,39,-,"Нет данных",33,23,26,80,-,43
"туш LUXVISAGE",,40,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш для вій LUXVISAGE",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш для вій Люкс Візаж",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш для вій Lovely",https://avrora.ua/tushi-dlya-viy/,0,0,-,-,"Нет данных",-,-,-,-,61,89,87,"Нет данных",-,91,-,30,-,-
"туш lovely",https://avrora.ua/tushi-dlya-viy/,0,-30,70,65,"Нет данных",-,-,-,63,68,73,72,"Нет данных",-,60,60,51,58,-
"туш MAX FACTOR",,50,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш для вій Макс Фактор",,40,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш для вій max factor",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш для вій MAXI color",https://avrora.ua/tushi-dlya-viy/,0,10,53,-,"Нет данных",-,34,29,40,35,-,26,"Нет данных",34,31,38,37,25,43
"туш MAXI color",https://avrora.ua/tushi-dlya-viy/,0,47,-,-,"Нет данных",-,42,39,40,40,-,-,"Нет данных",43,-,-,-,-,53
"туш Maybelline",,590,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш для вій Мейбелін",https://avrora.ua/dekorativnaya-kosmetika/,40,0,-,-,"Нет данных",-,-,-,-,-,43,-,"Нет данных",-,36,-,-,-,-
"туш для вій Maybelline",,50,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш для вій Лореаль",,210,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш Loreal",,50,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"туш для вій Loreal",https://avrora.ua/uhod-za-volosami/,10,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,54,-,-,-,-
"туш Wibo",https://avrora.ua/tushi-dlya-viy/,0,0,-,-,"Нет данных",-,-,-,33,-,37,38,"Нет данных",32,-,38,43,-,-
"туш для вій Wibo",https://avrora.ua/tushi-dlya-viy/,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,30,-,-,-
"подовжуюча туш для вій",https://avrora.ua/tushi-dlya-viy/,70,-6,62,57,"Нет данных",64,65,57,74,77,77,-,"Нет данных",84,-,88,-,81,68
"купити подовжуючу туш для вій",https://avrora.ua/tushi-dlya-viy/,0,-29,18,19,"Нет данных",27,17,15,15,15,31,-,"Нет данных",16,17,39,34,32,47
"туш для вій подовжуюча недорого",https://avrora.ua/tushi-dlya-viy/,0,22,-,72,"Нет данных",36,-,62,63,69,63,79,"Нет данных",52,38,-,61,99,78
"підкручуюча туш для вій",,10,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"купити водостійку туш для вій",https://avrora.ua/tushi-dlya-viy/,0,-46,54,-,"Нет данных",-,-,-,76,-,81,80,"Нет данных",81,82,65,74,89,-
"водостійка туш для вій ціна",https://avrora.ua/tush-dlya-viy-vodostiyka-lovit-podovzhuyucha-chorna/,0,0,-,-,"Нет данных",-,71,-,75,68,79,75,"Нет данных",70,67,65,-,-,-
"водостійкі туші для вій купити",https://avrora.ua/tushi-dlya-viy/,0,-60,40,45,"Нет данных",54,17,52,60,54,54,60,"Нет данных",18,17,48,19,52,-
"стійка туш для вій",https://avrora.ua/tush-dlya-viy-lovit-kolir-v-asortimenti-10-ml/,10,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,69,-,-,-,-
"олівець для очей",https://avrora.ua/olivci-dlya-ochey/,1100,-61,39,11,"Нет данных",11,31,12,27,33,-,30,"Нет данных",32,54,53,53,50,-
"купити олівець для очей",https://avrora.ua/olivci-dlya-ochey/,40,-51,36,12,"Нет данных",9,15,31,31,38,42,41,"Нет данных",48,26,39,38,39,87
"олівець для стрілок на очах",https://avrora.ua/olivci-dlya-ochey/,0,-23,77,33,"Нет данных",18,69,34,77,-,67,88,"Нет данных",65,69,81,69,73,-
"олівець для очей ціна",https://avrora.ua/olivci-dlya-ochey/,0,-53,32,10,"Нет данных",10,12,9,-,44,10,10,"Нет данных",16,32,14,36,49,85
"олівець для очей інтернет магазин",https://avrora.ua/olivci-dlya-ochey/,0,-74,26,13,"Нет данных",14,16,14,13,30,27,28,"Нет данных",67,76,37,38,40,-
"олівець для очей купити інтернет магазин",https://avrora.ua/olivci-dlya-ochey/,0,-85,15,12,"Нет данных",10,13,13,13,57,62,61,"Нет данных",66,45,58,66,56,-
"водостійкий олівець для очей",https://avrora.ua/olivci-dlya-ochey/,210,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"гелевий олівець для очей",https://avrora.ua/olivci-dlya-ochey/,320,-73,27,-,"Нет данных",24,39,21,42,38,35,37,"Нет данных",38,38,29,29,31,-
"твердий олівець для очей",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"гелевий олівець для очей купити",https://avrora.ua/olivci-dlya-ochey/,0,-32,23,22,"Нет данных",15,44,19,47,51,35,32,"Нет данных",38,19,26,27,40,55
"автоматичний олівець для очей",https://avrora.ua/olivci-dlya-ochey/,10,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,50,-,-
"чорний олівець для очей",https://avrora.ua/olivci-dlya-ochey/,210,-65,35,-,"Нет данных",15,18,16,47,-,-,-,"Нет данных",-,68,76,-,66,-
"коричневий олівець для очей",https://avrora.ua/olivci-dlya-ochey/,260,-41,59,-,"Нет данных",13,-,17,-,75,61,53,"Нет данных",-,66,-,83,-,-
"синій олівець для очей",https://avrora.ua/olivci-dlya-ochey/,50,0,-,-,"Нет данных",59,79,-,-,-,49,-,"Нет данных",-,88,62,66,65,-
"купити синій олівець для очей",https://avrora.ua/olivci-dlya-ochey/,0,10,-,-,"Нет данных",82,37,42,29,29,58,59,"Нет данных",49,39,50,-,-,90
"фіолетовий олівець для очей",https://avrora.ua/olivci-dlya-ochey/,20,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,81,89,-,-
"підводка для очей",https://avrora.ua/pidvodka-dlya-ochey/,140,-5,22,26,"Нет данных",23,16,16,15,29,47,42,"Нет данных",34,28,15,21,33,27
"купити підводку для очей",https://avrora.ua/pidvodka-dlya-ochey/,50,14,34,33,"Нет данных",32,22,34,45,43,41,41,"Нет данных",45,40,32,35,45,20
"підводка для очей ціна",https://avrora.ua/pidvodka-dlya-ochey/,10,-20,12,25,"Нет данных",10,10,12,12,-,16,12,"Нет данных",12,36,10,36,17,32
"недорога підводка для очей",https://avrora.ua/pidvodka-dlya-ochey/,0,-8,23,20,"Нет данных",17,25,25,19,22,28,25,"Нет данных",30,27,21,21,11,31
"підводка для очей дешево",https://avrora.ua/pidvodka-flomaster-dlya-povik/,0,-25,31,32,"Нет данных",34,50,34,28,44,63,55,"Нет данных",57,56,61,70,29,56
"замовити підводку для очей",https://avrora.ua/pidvodka-dlya-ochey/,0,-24,45,-,"Нет данных",55,38,31,-,45,46,46,"Нет данных",43,40,39,42,24,69
"рідка підводка для очей",https://avrora.ua/pidvodka-dlya-ochey/,50,30,56,-,"Нет данных",-,-,-,57,79,38,71,"Нет данных",63,65,25,26,25,26
"купити рідку підводку для очей",https://avrora.ua/pidvodka-dlya-ochey/,0,-8,42,-,"Нет данных",44,44,45,55,43,39,43,"Нет данных",43,41,28,48,44,50
"рідка підводка для очей ціна",https://avrora.ua/pidvodka-dlya-ochey/,0,86,-,-,"Нет данных",50,15,13,16,35,39,22,"Нет данных",21,12,16,16,15,14
"гелева підводка для очей",https://avrora.ua/pidvodka-dlya-ochey/,110,0,-,63,"Нет данных",57,34,60,55,57,59,57,"Нет данных",61,36,38,42,-,-
"гелева підводка для очей купити",https://avrora.ua/pidvodka-dlya-ochey/,10,-12,22,43,"Нет данных",40,27,27,26,26,32,29,"Нет данных",19,26,33,30,30,34
"гелева підводка для очей ціна",https://avrora.ua/pidvodka-dlya-ochey/,0,-10,27,-,"Нет данных",29,24,26,15,15,12,28,"Нет данных",29,25,34,31,30,37
"кремова підводка для очей",https://avrora.ua/pidvodka-dlya-ochey/,0,0,-,-,"Нет данных",-,-,-,-,-,48,-,"Нет данных",-,52,-,-,-,-
"кремова підводка для очей купити",https://avrora.ua/pidvodka-dlya-ochey/,0,-12,70,-,"Нет данных",79,-,-,74,-,-,-,"Нет данных",-,-,-,-,-,82
"біла підводка для очей",https://avrora.ua/pidvodka-dlya-ochey/,110,-16,19,-,"Нет данных",18,11,15,11,15,33,13,"Нет данных",12,32,30,30,32,35
"чорна підводка для очей",https://avrora.ua/pidvodka-flomaster-dlya-povik-colour-intense-ideal-eyes-chorna/,20,12,-,-,"Нет данных",-,78,-,81,64,65,68,"Нет данных",-,87,88,94,88,88
"коричнева підводка для очей",https://avrora.ua/pidvodka-dlya-ochey/,70,38,-,-,"Нет данных",-,73,66,67,47,65,70,"Нет данных",50,52,65,51,59,62
"фіолетова підводка для очей",https://avrora.ua/pidvodka-dlya-ochey/,0,20,86,-,"Нет данных",83,-,-,85,76,86,83,"Нет данных",82,76,87,92,82,66
"зелена підводка для очей",https://avrora.ua/pidvodka-dlya-ochey/,40,0,-,-,"Нет данных",-,-,-,-,55,64,83,"Нет данных",89,-,-,-,-,-
"блакитна підводка для очей",https://avrora.ua/pidvodka-dlya-ochey/,0,-3,44,30,"Нет данных",26,32,23,29,32,35,32,"Нет данных",26,29,23,25,27,47
"помаранчева підводка для очей",https://avrora.ua/olivec-dlya-ochey-colour-intense-mavka-pomarancheviy-01-1-g/,0,56,-,-,"Нет данных",-,85,69,71,72,81,78,"Нет данных",64,80,69,90,53,44
"золотиста підводка для очей",https://avrora.ua/pidvodka-dlya-ochey/,0,-39,61,-,"Нет данных",44,66,-,-,87,96,73,"Нет данных",76,85,84,80,-,-
"срібляста підводка для очей",https://avrora.ua/pidvodka-dlya-ochey/,0,11,-,-,"Нет данных",89,-,-,-,93,95,73,"Нет данных",94,69,55,-,66,89
"декоративна косметика для брів",https://avrora.ua/dekorativnaya-kosmetika/,0,3,17,15,"Нет данных",12,14,14,19,13,13,13,"Нет данных",12,13,24,19,22,14
"косметика для макіяжу брів",https://avrora.ua/dekorativnaya-kosmetika/,0,-10,30,45,"Нет данных",-,42,37,43,44,28,46,"Нет данных",33,35,37,33,45,40
"косметика для брів",https://avrora.ua/ochi-ta-brovi/,90,-37,63,23,"Нет данных",27,40,31,31,89,33,30,"Нет данных",31,29,33,33,39,-
"косметика для брів купити",https://avrora.ua/ochi-ta-brovi/,0,-56,44,29,"Нет данных",43,31,26,27,26,29,29,"Нет данных",28,29,37,31,32,-
"олівець для брів",https://avrora.ua/olivec-dlya-briv/,2900,81,-,55,"Нет данных",57,23,22,26,26,34,25,"Нет данных",57,33,-,29,26,19
"купити олівець для брів",https://avrora.ua/olivec-dlya-briv/,140,-27,30,20,"Нет данных",31,23,-,29,21,19,19,"Нет данных",22,26,57,70,73,57
"олівець для брів ціна",https://avrora.ua/olivec-dlya-briv/,10,42,-,-,"Нет данных",-,-,-,89,17,16,16,"Нет данных",59,45,-,66,55,58
"замовити олівець для брів",https://avrora.ua/ochi-ta-brovi/,0,-33,67,-,"Нет данных",-,94,28,60,60,49,51,"Нет данных",100,95,88,-,-,-
"недорогий олівець для брів",https://avrora.ua/olivec-dlya-briv/,0,84,-,49,"Нет данных",20,17,13,16,18,13,16,"Нет данных",20,43,-,15,46,16
"косметика олівець для брів",https://avrora.ua/ochi-ta-brovi/,0,0,-,-,"Нет данных",-,38,38,-,88,72,80,"Нет данных",-,36,-,85,-,-
"твердий олівець для брів",https://avrora.ua/olivec-dlya-briv-zi-schitkoyu-lovit-v-asortimenti/,0,0,-,-,"Нет данных",-,-,63,86,-,78,71,"Нет данных",59,-,-,-,-,-
"гелевий олівець для брів",https://avrora.ua/olivec-dlya-briv/,0,-43,10,55,"Нет данных",-,33,69,72,73,-,22,"Нет данных",81,29,63,-,69,53
"автоматичний олівець для брів купити",https://avrora.ua/olivec-dlya-briv-mehanichniy-zi-schitochkoyu-lovit/,0,2,75,-,"Нет данных",-,91,-,-,64,42,51,"Нет данных",58,53,82,54,72,73
"автоматичний олівець для брів",https://avrora.ua/olivec-dlya-briv/,10,32,-,-,"Нет данных",-,-,-,91,-,70,-,"Нет данных",85,79,-,87,-,68
"чорний олівець для брів",https://avrora.ua/olivec-dlya-briv/,10,49,73,-,"Нет данных",-,57,-,76,56,63,65,"Нет данных",-,85,-,-,-,24
"коричневий олівець для брів",https://avrora.ua/olivec-dlya-povik-briv-z-pidstrugachkoyu-senita-siro-korichneviy-2-5-g/,10,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",92,83,-,-,-,-
"олівець для брів коричневого відтінку",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"олівець для брів коричневого кольору",https://avrora.ua/ochi-ta-brovi/,0,-8,92,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"пудра для брів",https://avrora.ua/ochi-ta-brovi/,260,0,-,50,"Нет данных",47,54,53,54,52,53,56,"Нет данных",54,52,47,46,45,-
"купити пудру для брів",https://avrora.ua/krasota-i-zdorove/,0,0,-,-,"Нет данных",-,-,53,64,80,38,55,"Нет данных",-,54,50,46,48,-
"пудра для брів ціна",https://avrora.ua/krasota-i-zdorove/,0,0,-,-,"Нет данных",-,34,38,71,66,63,72,"Нет данных",77,62,68,61,71,-
"тіні для брів",https://avrora.ua/tini-dlya-ochey-ta-briv/,10,-82,18,11,"Нет данных",-,9,14,10,8,10,10,"Нет данных",9,13,20,59,23,-
"тіні для брів купити",https://avrora.ua/tini-dlya-ochey-ta-briv/,10,-12,12,13,"Нет данных",14,6,6,9,7,7,8,"Нет данных",10,8,18,18,22,24
"тіні для брів ціна",https://avrora.ua/tini-dlya-ochey-ta-briv/,10,-5,22,7,"Нет данных",15,9,24,10,21,20,24,"Нет данных",25,25,26,24,38,27
"гель для брів",https://avrora.ua/geli-dlya-briv/,6600,-5,14,-,"Нет данных",16,19,18,21,17,16,17,"Нет данных",16,19,18,20,16,19
"гель для брів купити",https://avrora.ua/geli-dlya-briv/,20,12,33,-,"Нет данных",26,30,28,35,35,32,30,"Нет данных",32,34,29,30,24,21
"гель для брів ціна",https://avrora.ua/geli-dlya-briv/,10,10,24,23,"Нет данных",35,15,28,17,17,16,16,"Нет данных",38,27,12,15,20,14
"недорогий гель для брів",https://avrora.ua/geli-dlya-briv/,0,-1,10,8,"Нет данных",9,8,10,12,11,11,10,"Нет данных",11,11,11,14,13,11
"гель для брів дешево",https://avrora.ua/geli-dlya-briv/,0,88,-,28,"Нет данных",32,28,26,26,41,28,29,"Нет данных",30,23,21,10,9,12
"гель для брів замовити",https://avrora.ua/geli-dlya-briv/,0,14,38,38,"Нет данных",37,30,30,37,33,32,33,"Нет данных",32,31,61,59,44,24
"туш для брів",https://avrora.ua/krasota-i-zdorove/,30,0,-,-,"Нет данных",-,-,-,-,-,64,84,"Нет данных",-,75,-,67,85,-
"туш для брів купити",https://avrora.ua/ochi-ta-brovi/,0,0,-,-,"Нет данных",45,31,-,26,51,25,24,"Нет данных",67,24,22,-,74,-
"туш для брів ціна",https://avrora.ua/tush-dlya-viy-uk/,10,31,-,-,"Нет данных",-,-,66,79,61,-,-,"Нет данных",60,65,87,33,86,69
"накладні вії",https://avrora.ua/nabir-vii-nakladni-2-pari/,2400,-31,13,14,"Нет данных",14,14,13,12,11,13,13,"Нет данных",11,11,11,10,11,44
"накладні вії купити",https://avrora.ua/nakladni-vii/,110,-12,23,18,"Нет данных",20,19,18,19,18,16,16,"Нет данных",17,16,20,18,16,35
"накладні вії ціна",https://avrora.ua/nakladni-vii/,20,-13,11,12,"Нет данных",12,13,11,11,12,11,11,"Нет данных",11,13,14,14,16,24
"де купити накладні вії",https://avrora.ua/nakladni-vii/,0,-28,15,-,"Нет данных",-,17,17,17,17,18,18,"Нет данных",16,17,16,18,17,43
"накладні вії магазин",https://avrora.ua/nakladni-vii/,0,-18,9,9,"Нет данных",9,9,8,10,10,11,11,"Нет данных",10,11,14,16,13,27
"вії накладні купити інтернет магазин",https://avrora.ua/nakladni-vii/,0,-15,18,17,"Нет данных",19,18,18,15,18,20,17,"Нет данных",17,19,20,18,24,33
"накладні вії інтернет магазин",https://avrora.ua/nakladni-vii/,0,-25,11,10,"Нет данных",-,10,12,14,17,19,19,"Нет данных",16,21,19,24,25,36
"вії накладні україна",https://avrora.ua/nakladni-vii/,0,-11,11,12,"Нет данных",11,9,9,10,9,9,10,"Нет данных",9,9,12,11,12,22
"накладні вії купити україна",https://avrora.ua/nakladni-vii/,0,-20,15,15,"Нет данных",16,17,17,16,15,17,17,"Нет данных",14,15,17,16,18,35
"бальзам для вій",https://avrora.ua/krasota-i-zdorove/,20,30,-,-,"Нет данных",-,-,50,57,47,92,47,"Нет данных",46,38,45,46,61,70
"бальзам для вій та брів",https://avrora.ua/ochi-ta-brovi/,0,-50,50,-,"Нет данных",44,-,38,36,32,23,25,"Нет данных",22,24,26,25,51,-
"бальзам для зміцнення вій",https://avrora.ua/ochi-ta-brovi/,0,0,-,-,"Нет данных",-,-,-,-,-,-,83,"Нет данных",97,-,74,-,-,-
"олія для брів",https://avrora.ua/krasota-i-zdorove/,140,0,-,-,"Нет данных",-,-,-,-,-,76,-,"Нет данных",-,68,81,73,-,-
"олія для вій та брів",https://avrora.ua/ochi-ta-brovi/,0,0,-,-,"Нет данных",-,44,-,-,89,-,-,"Нет данных",40,50,34,40,-,-
"олія для росту брів",https://avrora.ua/krasota-i-zdorove/,90,0,-,61,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"олія для брів купити",https://avrora.ua/ochi-ta-brovi/,0,0,-,-,"Нет данных",27,33,89,43,39,34,34,"Нет данных",35,35,32,37,-,-
"косметика для нігтів",https://avrora.ua/krasota-i-zdorove/,20,18,-,-,"Нет данных",44,29,30,58,34,27,31,"Нет данных",69,28,40,33,78,82
"магазин косметики для нігтів",https://avrora.ua/krasota-i-zdorove/,0,32,-,-,"Нет данных",-,44,46,60,50,46,51,"Нет данных",68,60,61,68,72,68
"інтернет косметика для нігтів",https://avrora.ua/vse-dlya-manikyura-i-pedikyura/,0,-23,77,42,"Нет данных",65,29,38,29,49,69,-,"Нет данных",25,34,-,-,-,-
"декоративна косметика для нігтів",https://avrora.ua/dekorativnaya-kosmetika/,0,-25,9,-,"Нет данных",9,14,12,13,9,8,9,"Нет данных",14,21,14,36,36,34
"косметика для рук та нігтів",https://avrora.ua/krasota-i-zdorove/,0,49,-,20,"Нет данных",31,32,33,-,56,39,40,"Нет данных",42,61,38,35,42,51
"професійна косметика для нігтів інтернет магазин",,0,0,-,-,"Нет данных",-,-,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"косметика для нігтів ціна",https://avrora.ua/tovari-dlya-domu/,0,-25,49,70,"Нет данных",24,22,21,22,27,26,25,"Нет данных",21,23,25,28,-,74
"засіб для зняття лаку",https://avrora.ua/zasobi-dlya-znyattya-laku/,210,7,8,4,"Нет данных",3,4,7,8,3,4,3,"Нет данных",3,3,4,4,3,1
"засіб для зняття лаку з нігтів",https://avrora.ua/zasobi-dlya-znyattya-laku/,20,2,3,6,"Нет данных",5,6,3,6,4,4,4,"Нет данных",5,3,4,4,5,1
"засіб для зняття лаку ціна",https://avrora.ua/zasobi-dlya-znyattya-laku/,0,3,7,8,"Нет данных",8,7,6,7,7,6,6,"Нет данных",6,6,8,6,8,4
"де купити засіб для зняття лаку",https://avrora.ua/zasobi-dlya-znyattya-laku/,0,2,5,3,"Нет данных",3,4,3,4,3,4,4,"Нет данных",3,3,4,4,5,3
"купити засіб для зняття лаку",https://avrora.ua/zasobi-dlya-znyattya-laku/,0,-2,2,3,"Нет данных",3,4,3,-,3,3,3,"Нет данных",3,3,4,4,5,4
"рідина для зняття лаку",https://avrora.ua/zasobi-dlya-znyattya-laku/,210,5,6,4,"Нет данных",3,4,2,3,3,3,2,"Нет данных",3,2,2,2,3,1
"купити рідину для зняття лаку",https://avrora.ua/zasobi-dlya-znyattya-laku/,0,4,8,8,"Нет данных",8,9,7,8,5,5,5,"Нет данных",7,6,8,6,6,4
"рідина для зняття лаку ціна",https://avrora.ua/zasobi-dlya-znyattya-laku/,0,0,7,7,"Нет данных",6,7,6,6,5,4,4,"Нет данных",4,4,3,3,8,7
"засіб для зняття лаку без ацетону",https://avrora.ua/zasobi-dlya-znyattya-laku/,70,-86,14,13,"Нет данных",13,19,13,13,12,13,13,"Нет данных",17,13,25,26,27,-
"зняття лаку без ацетону",https://avrora.ua/zasobi-dlya-znyattya-laku/,0,9,-,-,"Нет данных",61,-,-,58,68,-,68,"Нет данных",78,-,-,86,89,91
"рідина для зняття лаку без ацетону",https://avrora.ua/zasobi-dlya-znyattya-laku/,50,-31,40,50,"Нет данных",23,37,37,36,30,30,32,"Нет данных",24,42,62,66,-,71
